llm_type,opponent,opponent_elo,llm_role,result,move_count,game_number
normal_llm,ChildPlayer,1264,first_player,wins,6,1
normal_llm,ChildPlayer,1264,first_player,wins,4,2
normal_llm,ChildPlayer,1264,first_player,wins,4,3
normal_llm,ChildPlayer,1264,first_player,wins,4,4
normal_llm,ChildPlayer,1264,first_player,wins,4,5
normal_llm,ChildPlayer,1264,first_player,losses,5,6
normal_llm,ChildPlayer,1264,first_player,losses,5,7
normal_llm,ChildPlayer,1264,first_player,losses,5,8
normal_llm,ChildPlayer,1264,first_player,losses,5,9
normal_llm,ChildPlayer,1264,first_player,losses,5,10
normal_llm,ChildPlayer,1264,second_player,wins,7,1
normal_llm,ChildPlayer,1264,second_player,losses,5,2
normal_llm,ChildPlayer,1264,second_player,losses,7,3
normal_llm,ChildPlayer,1264,second_player,losses,4,4
normal_llm,ChildPlayer,1264,second_player,losses,5,5
normal_llm,ChildPlayer,1264,second_player,wins,3,6
normal_llm,ChildPlayer,1264,second_player,losses,8,7
normal_llm,ChildPlayer,1264,second_player,losses,5,8
normal_llm,ChildPlayer,1264,second_player,wins,4,9
normal_llm,ChildPlayer,1264,second_player,wins,4,10
lpml_llm,ChildPlayer,1264,first_player,losses,6,1
lpml_llm,ChildPlayer,1264,first_player,wins,4,2
lpml_llm,ChildPlayer,1264,first_player,wins,5,3
lpml_llm,ChildPlayer,1264,first_player,wins,5,4
lpml_llm,ChildPlayer,1264,first_player,wins,5,5
lpml_llm,ChildPlayer,1264,first_player,losses,7,6
lpml_llm,ChildPlayer,1264,first_player,wins,5,7
lpml_llm,ChildPlayer,1264,first_player,wins,10,8
lpml_llm,ChildPlayer,1264,first_player,losses,8,9
lpml_llm,ChildPlayer,1264,first_player,wins,6,10
lpml_llm,ChildPlayer,1264,second_player,wins,3,1
lpml_llm,ChildPlayer,1264,second_player,losses,5,2
lpml_llm,ChildPlayer,1264,second_player,wins,3,3
lpml_llm,ChildPlayer,1264,second_player,losses,10,4
lpml_llm,ChildPlayer,1264,second_player,wins,6,5
lpml_llm,ChildPlayer,1264,second_player,losses,4,6
lpml_llm,ChildPlayer,1264,second_player,wins,3,7
lpml_llm,ChildPlayer,1264,second_player,losses,5,8
lpml_llm,ChildPlayer,1264,second_player,losses,6,9
lpml_llm,ChildPlayer,1264,second_player,wins,4,10
normal_llm,TeenagerPlayer,1657,first_player,losses,6,1
normal_llm,TeenagerPlayer,1657,first_player,losses,8,2
normal_llm,TeenagerPlayer,1657,first_player,losses,7,3
normal_llm,TeenagerPlayer,1657,first_player,losses,3,4
normal_llm,TeenagerPlayer,1657,first_player,losses,6,5
normal_llm,TeenagerPlayer,1657,first_player,losses,6,6
normal_llm,TeenagerPlayer,1657,first_player,losses,6,7
normal_llm,TeenagerPlayer,1657,first_player,losses,8,8
normal_llm,TeenagerPlayer,1657,first_player,losses,6,9
normal_llm,TeenagerPlayer,1657,first_player,losses,8,10
normal_llm,TeenagerPlayer,1657,second_player,losses,5,1
normal_llm,TeenagerPlayer,1657,second_player,losses,5,2
normal_llm,TeenagerPlayer,1657,second_player,losses,8,3
normal_llm,TeenagerPlayer,1657,second_player,losses,6,4
normal_llm,TeenagerPlayer,1657,second_player,losses,10,5
normal_llm,TeenagerPlayer,1657,second_player,losses,5,6
normal_llm,TeenagerPlayer,1657,second_player,losses,4,7
normal_llm,TeenagerPlayer,1657,second_player,losses,9,8
normal_llm,TeenagerPlayer,1657,second_player,losses,4,9
normal_llm,TeenagerPlayer,1657,second_player,losses,4,10
lpml_llm,TeenagerPlayer,1657,first_player,losses,9,1
lpml_llm,TeenagerPlayer,1657,first_player,losses,7,2
lpml_llm,TeenagerPlayer,1657,first_player,losses,10,3
lpml_llm,TeenagerPlayer,1657,first_player,losses,4,4
lpml_llm,TeenagerPlayer,1657,first_player,losses,6,5
lpml_llm,TeenagerPlayer,1657,first_player,losses,7,6
lpml_llm,TeenagerPlayer,1657,first_player,losses,6,7
lpml_llm,TeenagerPlayer,1657,first_player,wins,6,8
lpml_llm,TeenagerPlayer,1657,first_player,losses,4,9
lpml_llm,TeenagerPlayer,1657,first_player,losses,8,10
lpml_llm,TeenagerPlayer,1657,second_player,losses,5,1
lpml_llm,TeenagerPlayer,1657,second_player,losses,5,2
lpml_llm,TeenagerPlayer,1657,second_player,losses,7,3
lpml_llm,TeenagerPlayer,1657,second_player,losses,6,4
lpml_llm,TeenagerPlayer,1657,second_player,losses,6,5
lpml_llm,TeenagerPlayer,1657,second_player,losses,7,6
lpml_llm,TeenagerPlayer,1657,second_player,losses,7,7
lpml_llm,TeenagerPlayer,1657,second_player,losses,9,8
lpml_llm,TeenagerPlayer,1657,second_player,losses,7,9
lpml_llm,TeenagerPlayer,1657,second_player,losses,4,10
normal_llm,AdultPlayer,1666,first_player,losses,5,1
normal_llm,AdultPlayer,1666,first_player,losses,5,2
normal_llm,AdultPlayer,1666,first_player,losses,5,3
normal_llm,AdultPlayer,1666,first_player,losses,6,4
normal_llm,AdultPlayer,1666,first_player,losses,6,5
normal_llm,AdultPlayer,1666,first_player,losses,6,6
normal_llm,AdultPlayer,1666,first_player,losses,8,7
normal_llm,AdultPlayer,1666,first_player,losses,4,8
normal_llm,AdultPlayer,1666,first_player,losses,6,9
normal_llm,AdultPlayer,1666,first_player,losses,5,10
normal_llm,AdultPlayer,1666,second_player,losses,7,1
normal_llm,AdultPlayer,1666,second_player,losses,7,2
normal_llm,AdultPlayer,1666,second_player,losses,6,3
normal_llm,AdultPlayer,1666,second_player,losses,8,4
normal_llm,AdultPlayer,1666,second_player,losses,5,5
normal_llm,AdultPlayer,1666,second_player,losses,10,6
normal_llm,AdultPlayer,1666,second_player,losses,4,7
normal_llm,AdultPlayer,1666,second_player,losses,5,8
normal_llm,AdultPlayer,1666,second_player,losses,6,9
normal_llm,AdultPlayer,1666,second_player,losses,5,10
lpml_llm,AdultPlayer,1666,first_player,losses,8,1
lpml_llm,AdultPlayer,1666,first_player,losses,9,2
lpml_llm,AdultPlayer,1666,first_player,losses,6,3
lpml_llm,AdultPlayer,1666,first_player,losses,9,4
lpml_llm,AdultPlayer,1666,first_player,losses,4,5
lpml_llm,AdultPlayer,1666,first_player,losses,6,6
lpml_llm,AdultPlayer,1666,first_player,losses,9,7
lpml_llm,AdultPlayer,1666,first_player,losses,4,8
lpml_llm,AdultPlayer,1666,first_player,losses,8,9
lpml_llm,AdultPlayer,1666,first_player,losses,12,10
lpml_llm,AdultPlayer,1666,second_player,losses,7,1
lpml_llm,AdultPlayer,1666,second_player,losses,8,2
lpml_llm,AdultPlayer,1666,second_player,wins,6,3
lpml_llm,AdultPlayer,1666,second_player,losses,6,4
lpml_llm,AdultPlayer,1666,second_player,losses,7,5
lpml_llm,AdultPlayer,1666,second_player,losses,4,6
lpml_llm,AdultPlayer,1666,second_player,losses,6,7
lpml_llm,AdultPlayer,1666,second_player,losses,5,8
lpml_llm,AdultPlayer,1666,second_player,losses,4,9
lpml_llm,AdultPlayer,1666,second_player,losses,7,10
